# {"t_start": 1549867203.317993, "env_id": "graph-search-v0"} 
r,l,t
-2,2,10.41701
-2,2,10.42274
-2,2,10.428315
-2,2,10.43454
-2,2,10.440805
-2,2,10.44697
-2,2,10.452863
-2,2,10.458865
-2,2,10.464731
-2,2,10.471956
-2,2,10.479975
-2,2,10.485916
-2,2,10.494001
-2,2,10.500924
-4,3,10.510148
-2,2,10.515797
-2,2,10.521878
-2,2,10.528033
-2,2,10.53367
-2,2,10.540386
-2,2,10.54647
-2,2,10.552067
-2,2,10.55793
-2,2,10.563577
-2,2,10.569138
-2,2,10.575633
-2,2,10.581326
-2,2,10.587006
-2,2,10.59377
-2,2,10.599386
-2,2,10.605057
-2,2,10.610798
-2,2,10.616734
-2,2,10.622529
-2,2,10.628372
-2,2,10.634024
-2,2,10.639657
-2,2,10.645502
-2,2,10.651574
-2,2,10.65768
-2,2,10.663509
-2,2,10.669396
-2,2,10.675173
-2,2,10.68134
-2,2,10.687271
-2,2,10.694128
-2,2,10.700208
-2,2,10.705953
-2,2,10.711915
-2,2,10.717571
-2,2,10.723934
-2,2,10.72972
-2,2,10.735357
-2,2,10.741106
-2,2,10.746853
-2,2,10.752432
-2,2,10.758212
-2,2,10.764051
-2,2,10.769801
-2,2,10.77607
-2,2,10.781654
-2,2,10.787379
-2,2,10.793803
-2,2,10.799601
-2,2,10.805866
-2,2,10.81187
-2,2,10.817557
-4,4,10.829036
-2,2,10.835158
-2,2,10.841685
-2,2,10.849657
-2,2,10.855758
-2,2,10.863711
-2,2,10.870006
-2,2,10.876395
-2,2,10.882017
-2,2,10.887701
-2,2,10.893674
-2,2,10.899619
-2,2,10.905775
-2,2,10.911726
-2,2,10.917636
-2,2,10.923265
-2,2,10.929225
-2,2,10.93498
-2,2,10.941302
-2,2,10.947016
-2,2,10.95261
-2,2,10.95853
-2,2,10.964127
-2,2,10.96987
-2,2,10.975615
-2,2,10.981652
-2,2,10.987595
-2,2,10.99402
-2,2,11.000146
-2,2,11.005841
-2,2,11.011629
-2,2,11.017474
-2,2,11.023736
-2,2,11.029531
-2,2,11.035129
-2,2,11.040796
-2,2,11.046888
-2,2,11.052935
-2,2,11.05952
-2,2,11.065888
-2,2,11.071699
-2,2,11.077494
-2,2,11.084408
-2,2,11.092205
-2,2,11.097947
-2,2,11.103551
-2,2,11.113046
-2,2,11.118727
-2,2,11.124864
-2,2,11.130534
-2,2,11.136149
-4,4,11.148419
-2,2,11.154382
-2,2,11.16106
-2,2,11.166688
-2,2,11.172732
-4,3,11.181406
-2,2,11.188169
-2,2,11.195528
-2,2,11.201794
-2,2,11.207603
-2,2,11.213184
-2,2,11.219018
-2,2,11.22481
-2,2,11.230584
-2,2,11.236675
-2,2,11.243043
-2,2,11.248795
-2,2,11.254583
-2,2,11.260185
-2,2,11.266076
-2,2,11.272302
-2,2,11.278097
-2,2,11.283813
-2,2,11.289402
-2,2,11.295161
-2,2,11.301182
-2,2,11.307369
-2,2,11.313494
-2,2,11.319475
-2,2,11.325208
-2,2,11.331901
-2,2,11.338035
-2,2,11.343741
-2,2,11.349607
-2,2,11.355385
-2,2,11.361606
-2,2,11.367199
-2,2,11.373386
-2,2,11.379404
-2,2,11.385181
-2,2,11.391416
-2,2,11.397073
-2,2,11.402712
-2,2,11.409118
-2,2,11.414743
-2,2,11.420617
-2,2,11.42675
-2,2,11.432353
-2,2,11.437998
-2,2,11.443937
-2,2,11.449864
-2,2,11.455574
-2,2,11.462021
-2,2,11.468062
-2,2,11.474656
-2,2,11.481617
-2,2,11.487452
-2,2,11.496219
-2,2,11.502089
-2,2,11.510591
-2,2,11.516993
-2,2,11.524821
-4,3,11.534544
-2,2,11.542167
-2,2,11.54852
-2,2,11.554945
-2,2,11.561788
-4,3,11.57148
-2,2,11.577604
-2,2,11.583507
-2,2,11.589732
-2,2,11.595896
-2,2,11.601946
-2,2,11.608631
-2,2,11.615089
-2,2,11.621367
-2,2,11.628398
-2,2,11.634895
-2,2,11.641993
-2,2,11.647984
-2,2,11.654213
-2,2,11.660592
-2,2,11.666872
-2,2,11.673276
-2,2,11.679597
-2,2,11.687759
-2,2,11.696345
-2,2,11.703699
-2,2,11.70999
-2,2,11.717758
-2,2,11.725366
-2,2,11.733664
-2,2,11.741754
-2,2,11.749995
-2,2,11.756065
-2,2,11.761912
-2,2,11.767901
-2,2,11.774381
-2,2,11.780548
-2,2,11.786119
-2,2,11.792301
-2,2,11.798255
-2,2,11.804305
-2,2,11.810623
-2,2,11.817118
-2,2,11.824459
-2,2,11.830894
-2,2,11.83677
-2,2,11.843746
-2,2,11.849322
-2,2,11.855204
-2,2,11.86138
-2,2,11.866857
-2,2,11.873833
-2,2,11.880272
-2,2,11.886308
-2,2,11.892733
-2,2,11.898248
-2,2,11.904303
-2,2,11.910762
-2,2,11.91659
-2,2,11.922844
-4,3,11.931591
-2,2,11.937544
-2,2,11.943406
-2,2,11.949314
-2,2,11.954906
-2,2,11.960806
-4,3,11.969258
-2,2,11.974951
-2,2,11.980991
-2,2,11.98673
-2,2,11.992836
-2,2,11.998492
-2,2,12.00393
-2,2,12.009333
-2,2,12.015135
-2,2,12.020598
-2,2,12.02679
-2,2,12.032324
-2,2,12.037752
-2,2,12.043336
-2,2,12.04884
-2,2,12.054252
-2,2,12.060454
-2,2,12.066822
-2,2,12.072791
-2,2,12.082598
-2,2,12.089632
-2,2,12.095567
-2,2,12.101251
-2,2,12.107529
-2,2,12.113434
-2,2,12.11949
-2,2,12.126256
-2,2,12.132032
-2,2,12.13819
-2,2,12.144248
-2,2,12.149836
-2,2,12.155545
-2,2,12.161204
-2,2,12.167134
-2,2,12.17341
-2,2,12.180493
-2,2,12.187117
-2,2,12.193482
-2,2,12.199724
-2,2,12.20587
-2,2,12.21183
-2,2,12.218751
-2,2,12.224705
-2,2,12.230718
-2,2,12.236734
-4,3,12.246352
-2,2,12.252156
-2,2,12.258244
-2,2,12.264407
-2,2,12.270233
-2,2,12.277298
-2,2,12.284007
-2,2,12.29016
-2,2,12.29612
-2,2,12.302259
-2,2,12.308267
-2,2,12.31406
-2,2,12.320679
-2,2,12.327107
-2,2,12.333123
-2,2,12.340046
-2,2,12.346228
-2,2,12.353714
-2,2,12.360965
-2,2,12.368733
-2,2,12.377702
-2,2,12.384422
-2,2,12.391107
-2,2,12.398113
-2,2,12.404822
-2,2,12.41375
-2,2,12.420392
-4,4,12.432751
-2,2,12.438734
-2,2,12.449644
-2,2,12.462647
-2,2,12.471728
-2,2,12.483681
-2,2,12.492547
-2,2,12.502875
-2,2,12.511521
-2,2,12.517725
-2,2,12.524194
-2,2,12.531279
-2,2,12.537421
-2,2,12.544839
-2,2,12.55096
-2,2,12.557575
-2,2,12.563396
-4,3,12.572136
-2,2,12.578847
-2,2,12.584683
-2,2,12.590664
-2,2,12.596577
-2,2,12.602664
-2,2,12.608813
-2,2,12.61443
-2,2,12.620317
-2,2,12.626973
-2,2,12.63305
-2,2,12.638622
-4,3,12.648407
-2,2,12.655967
-2,2,12.662846
-2,2,12.66908
-2,2,12.67558
-2,2,12.681408
-2,2,12.688126
-2,2,12.694674
-2,2,12.70087
-2,2,12.707399
-2,2,12.71322
-2,2,12.719257
-2,2,12.725404
-2,2,12.730896
